dimension,subgroup,n_actors,n_rows,pooled_mae,ci_low,ci_high,rel_gap_vs_overall_pct,status
Sex,Female,11,296,0.31260358662454324,0.286574393007476,0.34110141436803126,-2.021416694832633,ok
Sex,Male,18,486,0.32298100038509364,0.29670142398655097,0.35054481427340217,1.2311509087869514,ok
Race,African American,7,189,0.3072175988252846,0.29144666535332286,0.3231057474961638,-3.709533776176593,ok
Race,Asian,1,27,0.26054839660468554,,,-18.336948537890855,insufficient data (<3 actors)
Race,Caucasian,20,539,0.32204693616999286,0.29666649873771933,0.34907997303282623,0.9383894293048011,ok
Race,Unknown,1,27,0.4006369017069936,,,25.57065154907891,insufficient data (<3 actors)
Ethnicity,Hispanic,3,81,0.3109301091141005,0.2492696118978794,0.4006369017069937,-2.5459306885353628,ok
Ethnicity,Not Hispanic,26,701,0.31999156774576054,0.29979045222288586,0.3412654579408481,0.2941802935397358,ok
AgeBracket,20-34,12,323,0.29769050804172986,0.27437630301396393,0.3225077769979027,-6.695586713290024,ok
AgeBracket,35-49,9,243,0.3074030801417495,0.27311297563181547,0.3456174739006174,-3.6513988174160743,ok
AgeBracket,50+,8,216,0.36410391322266866,0.33216791090667624,0.39455503999650926,14.120205652892505,ok
