emotion,rank,feature,mean_abs_shap
happy,1,mouthSmileLeft,0.5909124621794621
happy,2,jawOpen,0.14055070753670784
happy,3,mouthSmileRight,0.08605025615034056
happy,4,mouthPucker,0.046473724667389485
happy,5,eyeBlinkRight,0.03464279240088945
happy,6,browInnerUp,0.0331033431882941
happy,7,mouthFrownRight,0.0316867573953953
happy,8,eyeWideRight,0.028986965594252588
happy,9,mouthPressRight,0.028351091850255198
happy,10,eyeSquintRight,0.02079995164264514
sad,1,browInnerUp,0.08454155730541146
sad,2,mouthSmileLeft,0.08061537998276723
sad,3,eyeWideRight,0.0604584767491387
sad,4,mouthFrownRight,0.03035734698599045
sad,5,eyeBlinkRight,0.02894672771485911
sad,6,jawOpen,0.02810730937229531
sad,7,eyeWideLeft,0.027387511255262884
sad,8,browOuterUpLeft,0.024909953589244672
sad,9,browOuterUpRight,0.024397183090523866
sad,10,mouthUpperUpLeft,0.023118190159490234
anger,1,browInnerUp,0.21344676993481104
anger,2,mouthSmileLeft,0.10501189192795607
anger,3,eyeWideRight,0.05679778811990403
anger,4,jawOpen,0.047619974394230276
anger,5,mouthUpperUpLeft,0.03905348067106083
anger,6,eyeSquintRight,0.035739271911796086
anger,7,mouthUpperUpRight,0.020699471486520758
anger,8,mouthSmileRight,0.01717483830055676
anger,9,browDownLeft,0.017099127094256743
anger,10,eyeLookDownRight,0.01645011354072514
surprise,1,eyeWideRight,0.1340770811668546
surprise,2,mouthSmileLeft,0.10377572789362624
surprise,3,mouthFrownRight,0.09061812400428883
surprise,4,eyeSquintRight,0.07130814774852022
surprise,5,browDownLeft,0.06391305316478642
surprise,6,browDownRight,0.06238008515699356
surprise,7,browInnerUp,0.060231558551432585
surprise,8,mouthShrugLower,0.051579036478114626
surprise,9,jawOpen,0.040473567416963514
surprise,10,browOuterUpLeft,0.03748583180792535
disgust,1,mouthSmileLeft,0.12266206880227928
disgust,2,browInnerUp,0.09298267295053417
disgust,3,mouthUpperUpLeft,0.07563200540868038
disgust,4,eyeWideRight,0.05577084237515211
disgust,5,mouthUpperUpRight,0.045730172855189447
disgust,6,eyeSquintRight,0.03650247177829816
disgust,7,mouthSmileRight,0.022188426058023025
disgust,8,mouthPressLeft,0.020663956367958605
disgust,9,mouthPressRight,0.020343128362533828
disgust,10,jawOpen,0.020196395625428874
fear,1,eyeWideRight,0.13165556886268434
fear,2,mouthSmileLeft,0.07719184516907815
fear,3,mouthFrownRight,0.06542033323270827
fear,4,eyeSquintRight,0.06398838486582584
fear,5,jawOpen,0.060234461330196526
fear,6,eyeWideLeft,0.05331105460564452
fear,7,browInnerUp,0.036613376875458535
fear,8,eyeBlinkLeft,0.033167157650518954
fear,9,eyeBlinkRight,0.02646404355093424
fear,10,browOuterUpLeft,0.01828218535717805
